Covered Vehicle,Vehicle ID (Ktype),Car Marker,Model,Version,From,To,Body Type,Drive Type,Litters,cc,Fuel type,kW,HP,Cylinders,Valves,Engine Type,Engine Code,Product Limitations,Carpark,# Products,Covered in Products
,45,RENAULT,SCÉNIC IV (J9_),1.5 dCi 110 Hybrid Assist (J9AE),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Mild Hybrid,"K9K 500, K9K 502",1) TecDoc Engine Number : 34673,30,1,A: LuK DMF
,85,RENAULT,"MEGANE III Hatchback (BZ0/1_, B3_)",1.5 dCi,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,None,30,1,A: LuK RepSet DMF
,125,RENAULT,SCÉNIC III (JZ0/1_),"1.5 dCi (JZ02, JZ0R)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 846,None,30,1,A: LuK RepSet DMF
,165,RENAULT,KANGOO Express (FW0/1_),"1.5 dCi 110 (FW0C, FW0H)",X,Y,Box Body/MPV | Express | Rapid,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 804, K9K 816",None,30,1,A: LuK RepSet DMF
,205,RENAULT,MODUS / GRAND MODUS (F/JP0_),"1.5 dCi (JP0G, JP0H)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 764,None,30,1,A: LuK RepSet DMF
,245,RENAULT,"MEGANE II (BM0/1_, CM0/1_)","1.5 dCi (BM1E, CM1E)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,None,30,1,A: LuK RepSet DMF
,285,RENAULT,"CLIO III (BR0/1, CR0/1) | CLIO CAMPUS | LUTECIA","1.5 dCi (BR1C, CR1C)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 772,None,30,1,A: LuK RepSet DMF
,325,RENAULT,"MEGANE II (BM0/1_, CM0/1_)","1.5 dCi (BM16, CM16)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 734,None,30,1,A: LuK RepSet DMF
,365,RENAULT,LAGUNA III Grandtour (KT0/1),"1.5 dCi (KT0A, KT0R, KT02)",X,Y,Estate | Grandtour | Sport Tourer | Sportour,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 780, K9K 782, K9K 846",None,30,1,A: LuK RepSet DMF
,405,NISSAN,TIIDA Hatchback (C11) | LATIO,1.5 dCi,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K, K9K 278",None,30,1,A: LuK RepSet DMF
,445,RENAULT,KANGOO BE BOP (KW0/1_),1.5 dCi (KW0F),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 806,None,30,1,A: LuK RepSet DMF
,485,NISSAN,"NOTE (E11, NE11)",1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 288,None,30,1,A: LuK RepSet DMF
,525,RENAULT,FLUENCE (L3_),"1.5 dCi (L30D, L30L, L306, L33F, L33L, L33M, L33V, L33W)",X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 656, K9K 657, K9K 836, K9K 837",None,30,1,A: LuK RepSet DMF
,565,NISSAN,JUKE (F15),1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 410, K9K 636, K9K 646, K9K 896",None,30,1,A: LuK RepSet DMF
,605,DACIA,LODGY (JS_),"1.5 dCi (JSMC, JSAF)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,79,107,4,2,Diesel,"K9K 846, K9K 856",1) Transmission Code : TL4,30,1,A: LuK RepSet DMF
,645,RENAULT,LATITUDE (L70_),"1.5 dCi (L70R, L731)",X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 782, K9K 849",1) Transmission Code : TL4,30,1,A: LuK RepSet DMF
,685,RENAULT,"MEGANE III Hatchback (BZ0/1_, B3_)","1.5 dCi (BZ1G, BZ1W, BZ0R)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 846,None,30,1,A: LuK RepSet DMF
,725,NISSAN,PULSAR Hatchback (C13) | TIIDA | SYLPHY,1.5 dCi,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K,None,30,1,A: LuK RepSet DMF
,765,RENAULT,"KADJAR (HA_, HL_)",1.5 dCi 110 (HLA3),X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 646, K9K 647, K9K 648, K9K 649","1) TecDoc Engine Number : 32413, 2) TecDoc Engine Number : 37649",30,1,A: LuK RepSet DMF
